COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,ELSEVIER SCI LTD,1359-8368,1879-1069,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"75,964",12.7,Q1,3.03,14.71%,Unnamed: 12
3c Tecnologia,3C TECNOL,3CIENCIAS,2254-4143,2254-4143,"ENGINEERING, MULTIDISCIPLINARY",ESCI,105,0.9,Q3,0.14,92.16%,
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,ELSEVIER SCI LTD,1474-0346,1873-5320,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"10,404",8,Q1,2.05,11.12%,
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,ELSEVIER SCI LTD,0965-9978,1873-5339,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"11,210",4,Q1,1.18,13.76%,
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,CAMBRIDGE UNIV PRESS,0890-0604,1469-1760,"ENGINEERING, MULTIDISCIPLINARY",SCIE,786,1.7,Q2,0.37,31.4%,
APPLIED MATHEMATICAL MODELLING,APPL MATH MODEL,ELSEVIER SCIENCE INC,0307-904X,1872-8480,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"25,283",4.4,Q1,1.51,8.66%,
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,SPRINGER,1134-3060,1886-1784,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"8,304",9.7,Q1,1.27,15.15%,
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part B-Mechanical Engineering,ASCE-ASME J RISK U B,ASME,2332-9017,2332-9025,"ENGINEERING, MULTIDISCIPLINARY",ESCI,442,1.8,Q2,0.72,1.64%,
ATOMIZATION AND SPRAYS,ATOMIZATION SPRAY,BEGELL HOUSE INC,1044-5110,1936-2684,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"1,613",1,Q3,0.28,0%,
Acta Polytechnica,ACTA POLYTECH,CZECH TECHNICAL UNIV PRAGUE,,1805-2363,"ENGINEERING, MULTIDISCIPLINARY",ESCI,436,0.6,Q3,0.23,97.74%,
Acta Polytechnica Hungarica,ACTA POLYTECH HUNG,BUDAPEST TECH,1785-8860,1785-8860,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"1,219",1.4,Q2,0.53,29.77%,
Advances in Science and Technology-Research Journal,ADV SCI TECHNOL-RES,"LUBLIN UNIV TECHNOLOGY, POLAND",2080-4075,2299-8624,"ENGINEERING, MULTIDISCIPLINARY",ESCI,835,1,Q3,0.33,99.4%,
Ain Shams Engineering Journal,AIN SHAMS ENG J,ELSEVIER,2090-4479,2090-4495,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"9,498",6,Q1,2.07,98.12%,
Alexandria Engineering Journal,ALEX ENG J,ELSEVIER,1110-0168,2090-2670,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"20,244",6.2,Q1,2.3,94.09%,
Applications in Engineering Science,APPL ENG SCI,ELSEVIER,2666-4968,2666-4968,"ENGINEERING, MULTIDISCIPLINARY",ESCI,278,2.2,Q2,0.52,93.8%,
Applied Mathematics in Science and Engineering,APPL MATH SCI ENG,TAYLOR & FRANCIS LTD,,2769-0911,"ENGINEERING, MULTIDISCIPLINARY",SCIE,135,1.9,Q2,0.66,91.35%,
Applied Sciences-Basel,APPL SCI-BASEL,MDPI,,2076-3417,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"125,694",2.5,Q1,0.56,99.5%,
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,IOP Publishing Ltd,1748-3182,1748-3190,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"4,789",3.1,Q1,0.75,28.03%,
Biomimetics,BIOMIMETICS-BASEL,MDPI,,2313-7673,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"2,498",3.4,Q1,0.77,100%,
Bulletin of the Polish Academy of Sciences-Technical Sciences,B POL ACAD SCI-TECH,"POLSKA AKAD NAUK, POLISH ACAD SCI, DIV IV TECHNICAL SCIENCES PAS",0239-7528,2300-1917,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"1,484",1.2,Q3,0.41,97.01%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,CMES-COMP MODEL ENG,TECH SCIENCE PRESS,1526-1492,1526-1506,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"3,364",2.2,Q2,0.77,99.1%,
COMBUSTION EXPLOSION AND SHOCK WAVES,COMBUST EXPLO SHOCK+,MAIK NAUKA/INTERPERIODICA/SPRINGER,0010-5082,1573-8345,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"2,338",0.9,Q3,0.18,0.39%,
COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,TAYLOR & FRANCIS INC,0010-2202,1563-521X,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"7,070",1.7,Q2,0.39,4.99%,
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,WILEY,1061-3773,1099-0542,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"1,947",2,Q2,0.71,16.61%,
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,ELSEVIER SCIENCE SA,0045-7825,1879-2138,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"48,296",6.9,Q1,2.12,33.94%,
Ciencia e Ingenieria,CIENC ING,"UNIV ANDES, FAC INGENIERIA",1316-7081,2244-8780,"ENGINEERING, MULTIDISCIPLINARY",ESCI,41,0.1,Q4,0.04,0%,
Cogent Engineering,COGENT ENG,TAYLOR & FRANCIS AS,2331-1916,2331-1916,"ENGINEERING, MULTIDISCIPLINARY",ESCI,"3,239",2.1,Q2,0.6,97.44%,
Combustion and Flame,COMBUST FLAME,ELSEVIER SCIENCE INC,0010-2180,1556-2921,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"38,487",5.8,Q1,1.18,28.62%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
