COASTAL ENGINEERING JOURNAL,COAST ENG J,TAYLOR & FRANCIS LTD,2166-4250,1793-6292,"ENGINEERING, CIVIL",SCIE,936,1.9,Q3,0.53,32.73%,
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,ELSEVIER,0165-232X,1872-7441,"ENGINEERING, CIVIL",SCIE,"9,968",3.8,Q1,0.76,18.31%,
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY,1093-9687,1467-8667,"ENGINEERING, CIVIL",SCIE,"8,708",8.5,Q1,1.77,26.32%,
COMPUTERS & STRUCTURES,COMPUT STRUCT,PERGAMON-ELSEVIER SCIENCE LTD,0045-7949,1879-2243,"ENGINEERING, CIVIL",SCIE,"16,036",4.4,Q1,1.01,21.34%,
Case Studies in Construction Materials,CASE STUD CONSTR MAT,ELSEVIER,2214-5095,2214-5095,"ENGINEERING, CIVIL",SCIE,"12,515",6.5,Q1,1.34,90.46%,
Civil Engineering Infrastructures Journal-CEIJ,CIV ENG INFRASTRUCT,"UNIV TEHRAN, COLL ENGINEERING",2322-2093,2423-6691,"ENGINEERING, CIVIL",ESCI,181,1,Q4,0.16,0%,
Civil Engineering Journal-Stavebni Obzor,CIV ENG J-STAVEB OBZ,"CZECH TECHNICAL UNIV PRAGUE, FAC CIVIL ENGINEERING",1210-4027,1805-2576,"ENGINEERING, CIVIL",ESCI,93,0.2,Q4,0.07,99.39%,
Civil Engineering Journal-Tehran,CIV ENG J-TEHRAN,C EJ PUBLISHING GROUP,2676-6957,2476-3055,"ENGINEERING, CIVIL",ESCI,"2,767",4.3,Q1,0.94,99.66%,
Civil and Environmental Engineering,CIV ENVIRON ENG,SCIENDO,1336-5835,2199-6512,"ENGINEERING, CIVIL",ESCI,322,1.1,Q3,0.26,98.56%,
Civil and Environmental Engineering Reports,CIV ENVIRON ENG REP,UNIV ZIELONA GORA,2080-5187,2450-8594,"ENGINEERING, CIVIL",ESCI,278,0.6,Q4,0.15,99.4%,
Computers and Concrete,COMPUT CONCRETE,TECHNO-PRESS,1598-8198,1598-818X,"ENGINEERING, CIVIL",SCIE,"2,215",2.9,Q2,1.09,0%,
Construction and Building Materials,CONSTR BUILD MATER,ELSEVIER SCI LTD,0950-0618,1879-0526,"ENGINEERING, CIVIL",SCIE,"228,428",7.4,Q1,1.43,8.67%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
Developments in the Built Environment,DEV BUILT ENVIRON,ELSEVIER,,2666-1659,"ENGINEERING, CIVIL",SCIE,"1,127",6.2,Q1,1.21,94.7%,
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,EARTHQ ENG STRUCT D,WILEY,0098-8847,1096-9845,"ENGINEERING, CIVIL",SCIE,"16,088",4.3,Q1,1.05,24.29%,
EARTHQUAKE SPECTRA,EARTHQ SPECTRA,SAGE PUBLICATIONS INC,8755-2930,1944-8201,"ENGINEERING, CIVIL",SCIE,"8,654",3.1,Q2,1.02,13.58%,
ENERGY AND BUILDINGS,ENERG BUILDINGS,ELSEVIER SCIENCE SA,0378-7788,1872-6178,"ENGINEERING, CIVIL",SCIE,"61,084",6.6,Q1,1.22,21.33%,
ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,ENG J AISC,AMER INST STEEL CONSTRUCTION,0013-8029,0013-8029,"ENGINEERING, CIVIL",SCIE,503,0.8,Q4,0.11,0%,
ENGINEERING STRUCTURES,ENG STRUCT,ELSEVIER SCI LTD,0141-0296,1873-7323,"ENGINEERING, CIVIL",SCIE,"72,011",5.6,Q1,1.29,13.65%,
Earthquake Engineering and Engineering Vibration,EARTHQ ENG ENG VIB,SPRINGER,1671-3664,1993-503X,"ENGINEERING, CIVIL",SCIE,"2,591",2.6,Q2,0.62,0.5%,
Earthquakes and Structures,EARTHQ STRUCT,TECHNO-PRESS,2092-7614,2092-7622,"ENGINEERING, CIVIL",SCIE,"1,618",1.4,Q3,0.38,0%,
Electronic Journal of Structural Engineering,ELECTRON J STRUCT EN,EJSE INT LTD,1443-9255,1443-9255,"ENGINEERING, CIVIL",ESCI,251,0.8,Q4,0.17,73.77%,
Electronic Journal of the Faculty of Civil Engineering Osijek-e-GFOS,ELECTRON J FAC CIV E,Univ Osijek,,1847-8948,"ENGINEERING, CIVIL",ESCI,43,0.6,Q4,0.06,100%,
Engineering Construction and Architectural Management,ENG CONSTR ARCHIT MA,EMERALD GROUP PUBLISHING LTD,0969-9988,1365-232X,"ENGINEERING, CIVIL",SCIE,"5,843",3.6,Q1,0.74,3.07%,
European Journal of Environmental and Civil Engineering,EUR J ENVIRON CIV EN,TAYLOR & FRANCIS LTD,1964-8189,2116-7214,"ENGINEERING, CIVIL",SCIE,"3,630",2.2,Q2,0.56,0.59%,
Fire Safety Journal,FIRE SAFETY J,ELSEVIER SCI LTD,0379-7112,1873-7226,"ENGINEERING, CIVIL",SCIE,"8,454",3.4,Q2,0.72,26.95%,
Frontiers in Built Environment,FRONT BUILT ENVIRON,FRONTIERS MEDIA SA,,2297-3362,"ENGINEERING, CIVIL",ESCI,"2,497",2.2,Q2,0.44,99.68%,
Frontiers of Structural and Civil Engineering,FRONT STRUCT CIV ENG,HIGHER EDUCATION PRESS,2095-2430,2095-2449,"ENGINEERING, CIVIL",SCIE,"2,280",2.9,Q2,0.67,10.03%,
GEFAHRSTOFFE REINHALTUNG DER LUFT,GEFAHRST REINHALT L,SPRINGER-V D I VERLAG GMBH & CO KG,0949-8036,1436-4891,"ENGINEERING, CIVIL",SCIE,90,0.1,Q4,0.03,0%,
Gallerie e Grandi Opere Sotterranee,GALLERIE GD OPER SOT,PATRON EDITORE S R L,0393-1641,,"ENGINEERING, CIVIL",ESCI,11,<0.1,Q4,0.02,0%,
Geomechanics and Engineering,GEOMECH ENG,TECHNO-PRESS,2005-307X,2092-6219,"ENGINEERING, CIVIL",SCIE,"3,462",2.5,Q2,0.75,0%,
Gradevinar,GRADEVINAR,CROATIAN SOC CIVIL ENGINEERS-HSGI,0350-2465,1333-9095,"ENGINEERING, CIVIL",SCIE,647,1,Q4,0.19,76.77%,
Gradevnski Materijiali I Konstrukcije-Building Materials and Structures,GRADEV MATER KONSTR,SOC MATERIALS & STRUCTURES TESTING SERBIA,2217-8139,2217-8139,"ENGINEERING, CIVIL",ESCI,48,0.5,Q4,0.08,100%,
Hormigon y Acero,HORMIG ACERO,ASOC ESPANOLA INGENIERIA ESTRUCTURAL-ACHE,0439-5689,2605-1729,"ENGINEERING, CIVIL",ESCI,81,0.1,Q4,0.04,97.47%,
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0364-9059,1558-1691,"ENGINEERING, CIVIL",SCIE,"6,569",3.8,Q1,1.09,14.78%,
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE T INTELL TRANSP,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1524-9050,1558-0016,"ENGINEERING, CIVIL",SCIE,"47,877",7.9,Q1,2.0,8.41%,
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,INT J OFFSHORE POLAR,INT SOC OFFSHORE POLAR ENGINEERS,1053-5381,1053-5381,"ENGINEERING, CIVIL",SCIE,828,0.9,Q4,0.22,0%,
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,ITE J,INST TRANSPORTATION ENGINEERS,0162-8178,,"ENGINEERING, CIVIL",SCIE,400,0.3,Q4,0.07,0%,
Informes de la Construccion,INF CONSTR,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,0020-0883,1988-3234,"ENGINEERING, CIVIL",SCIE,386,0.4,Q4,0.09,96.13%,
Infrastructures,INFRASTRUCTURES-BASE,MDPI,,2412-3811,"ENGINEERING, CIVIL",ESCI,"1,865",2.7,Q2,0.54,99.81%,
Ingegneria Sismica,ING SISMICA-ITAL,PATRON EDITORE S R L,0393-1420,,"ENGINEERING, CIVIL",SCIE,213,1.4,Q3,0.45,0%,
Ingenieria del Agua,ING AGUA,"UNIV POLITECNICA VALENCIA, EDITORIAL UPV",1134-2196,1886-4996,"ENGINEERING, CIVIL",ESCI,100,0.6,Q4,0.15,84.75%,
Innovative Infrastructure Solutions,INNOV INFRASTRUCT SO,SPRINGER INT PUBL AG,2364-4176,2364-4184,"ENGINEERING, CIVIL",ESCI,"2,343",2.3,Q2,0.53,4.34%,
