COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,COMPEL,EMERALD GROUP PUBLISHING LTD,0332-1649,0332-1649,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,954,1,Q4,0.28,7.12%,
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,ELSEVIER SCI LTD,1476-9271,1476-928X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"3,418",2.6,Q2,0.69,6.84%,
COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,SPRINGER,1420-0597,1573-1499,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"2,630",2.1,Q3,0.83,31.76%,
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,MIT PRESS,0891-2017,1530-9312,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"2,329",3.7,Q2,3.12,98.8%,
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,ELSEVIER,0167-9473,1872-7352,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"9,795",1.5,Q3,0.63,25.33%,
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,WILEY,1061-3773,1099-0542,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,947",2,Q3,0.71,16.61%,
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,TAYLOR & FRANCIS LTD,1025-5842,1476-8259,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"4,023",1.7,Q3,0.35,7.69%,
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,MIT PRESS,0148-9267,1531-5169,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,409,0.4,Q4,0.26,3.57%,
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,ELSEVIER,0010-4655,1879-2944,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"31,337",7.2,Q1,1.75,36.44%,
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY,1093-9687,1467-8667,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"8,708",8.5,Q1,1.77,26.32%,
