BASIN RESEARCH,BASIN RES,WILEY,0950-091X,1365-2117,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"4,094",2.8,Q2,0.81,37.54%,
BIOGEOCHEMISTRY,BIOGEOCHEMISTRY,SPRINGER,0168-2563,1573-515X,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"11,688",3.9,Q1,0.89,33.04%,
BOREAS,BOREAS,WILEY,0300-9483,1502-3885,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,569",2.4,Q2,0.62,54.92%,
BSGF-Earth Sciences Bulletin,BSGF-EARTH SCI B,EDP SCIENCES S A,0037-9409,1777-5817,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,354,2.6,Q2,0.68,98.9%,
BULLETIN OF GEOSCIENCES,B GEOSCI,CZECH GEOLOGICAL SURVEY,1214-1119,1802-8225,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,711,1.5,Q3,0.66,93.55%,
BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,B GEOL SOC DENMARK,GEOLOGICAL SOC DENMARK,2245-7070,2245-7070,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,471,1.0,Q4,0.36,91.18%,
BULLETIN OF VOLCANOLOGY,B VOLCANOL,SPRINGER,0258-8900,1432-0819,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"5,341",3.6,Q1,0.95,49.6%,
Big Earth Data,BIG EARTH DATA,TAYLOR & FRANCIS LTD,2096-4471,2574-5417,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,750,4.2,Q1,0.98,98.15%,
Biogeosciences,BIOGEOSCIENCES,COPERNICUS GESELLSCHAFT MBH,1726-4170,1726-4189,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"22,807",3.9,Q1,1.2,99.33%,
Boletim Paranaense de Geociencias,BOL PARANA GEOCIENC,"UNIV FED PARANA, EDITORA",0067-964X,0067-964X,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,47,0.5,Q4,0.09,0%,
Boletin de Ciencias de la Tierra,BOL CIENC TIERRA,"UNIV NAC COLOMBIA, SEDE MEDELLIN",0120-3630,2357-3740,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,60,0.2,Q4,0.03,40.63%,
Brazilian Journal of Geology,BRAZ J GEOL,SOC BRASILEIRA GEOLOGIA,2317-4889,2317-4692,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,749,1.3,Q3,0.32,90.32%,
Bulletin of Earthquake Engineering,B EARTHQ ENG,SPRINGER,1570-761X,1573-1456,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"9,544",3.8,Q1,1.11,31.57%,
Bulletin of Engineering Geology and the Environment,B ENG GEOL ENVIRON,SPRINGER HEIDELBERG,1435-9529,1435-9537,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"12,080",3.7,Q1,0.86,5%,
Bulletin of the Mineral Research and Exploration,B MINER RES EXPLOR,MADEN TETKIK VE ARAMA GENEL MUDURLUGU-MTA,0026-4563,0026-4563,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,272,0.5,Q4,0.14,94%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
CANADIAN GEOTECHNICAL JOURNAL,CAN GEOTECH J,CANADIAN SCIENCE PUBLISHING,0008-3674,1208-6010,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"17,978",3.0,Q2,0.94,5.2%,
CANADIAN JOURNAL OF EARTH SCIENCES,CAN J EARTH SCI,CANADIAN SCIENCE PUBLISHING,0008-4077,1480-3313,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"5,713",1.3,Q3,0.35,20.78%,
CATENA,CATENA,ELSEVIER,0341-8162,1872-6887,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"32,914",5.4,Q1,1.47,10.97%,
CLAY MINERALS,CLAY MINER,CAMBRIDGE UNIV PRESS,0009-8558,1471-8030,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,733",1.1,Q4,0.31,12.64%,
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,SPRINGER,0009-8604,1552-8367,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"5,127",2.0,Q3,0.48,13.13%,
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,ELSEVIER,0165-232X,1872-7441,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"9,968",3.8,Q1,0.76,18.31%,
COMPTES RENDUS GEOSCIENCE,CR GEOSCI,ACAD SCIENCES,1631-0713,1778-7025,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,792",2.0,Q3,0.45,100%,
COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,SPRINGER,1420-0597,1573-1499,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,630",2.1,Q3,0.83,31.76%,
